isolate_id,cohort,coverage,run,mlst_scheme,mlst_st,consensus_st_S1,concordant_with_S1,data_source,mlst_alleles,assembly_path
6312,carbapenemase-producing,10x,PAU61707_barcode3132,ecoli_achtman_4,10,10,yes,mlst output,adk(10);fumC(11);gyrB(4);icd(8);mdh(8);purA(8);recA(2),polished_fasta_10x/isolate_6312_PAU61707_barcode3132_10x.fasta
6365,carbapenemase-producing,10x,PAU61707_barcode3334,klebsiella,4167,4167,yes,mlst output,gapA(16);infB(24);mdh(21);pgi(106);phoE(68);rpoB(59);tonB(67),polished_fasta_10x/isolate_6365_PAU61707_barcode3334_10x.fasta
6378,carbapenemase-producing,10x,FAY24367_barcode0511,klebsiella,307,307,yes,mlst output,gapA(4);infB(1);mdh(2);pgi(52);phoE(1);rpoB(1);tonB(7),polished_fasta_10x/isolate_6378_FAY24367_barcode0511_10x.fasta
6394,carbapenemase-producing,10x,PAU61707_barcode3536,klebsiella,874,874,yes,mlst output,gapA(4);infB(1);mdh(1);pgi(1);phoE(7);rpoB(1);tonB(22),polished_fasta_10x/isolate_6394_PAU61707_barcode3536_10x.fasta
6403,carbapenemase-producing,10x,PAU61707_barcode3738,ecoli_achtman_4,167,167,yes,mlst output,adk(10);fumC(11);gyrB(4);icd(8);mdh(8);purA(13);recA(2),polished_fasta_10x/isolate_6403_PAU61707_barcode3738_10x.fasta
6433,carbapenemase-producing,10x,PAU61707_barcode3940,-,-,,,mlst output,,polished_fasta_10x/isolate_6433_PAU61707_barcode3940_10x.fasta
6454,carbapenemase-producing,10x,PAU61707_barcode4142,klebsiella,4167,4167,yes,mlst output,gapA(16);infB(24);mdh(21);pgi(106);phoE(68);rpoB(59);tonB(67),polished_fasta_10x/isolate_6454_PAU61707_barcode4142_10x.fasta
6455,carbapenemase-producing,10x,PAUPAY,klebsiella,320,320,yes,mlst output,gapA(3);infB(6);mdh(2);pgi(1);phoE(7);rpoB(4);tonB(41),polished_fasta_10x/isolate_6455_PAUPAY_10x.fasta
6466,carbapenemase-producing,10x,PAU61707_barcode4546,ecoli_achtman_4,-,448,no,mlst output,adk(6);fumC(1951?);gyrB(5);icd(16);mdh(11);purA(1122?);recA(7),polished_fasta_10x/isolate_6466_PAU61707_barcode4546_10x.fasta
6472,carbapenemase-producing,10x,PAU61707_barcode4748,cfreundii,22,22,yes,mlst output,aspC(15);clpX(12);fadD(20);mdh(15);arcA(5);dnaG(11);lysP(17),polished_fasta_10x/isolate_6472_PAU61707_barcode4748_10x.fasta
6482,carbapenemase-producing,10x,FAYFAY,ecloacae,45,45,yes,mlst output,dnaA(4);fusA(4);gyrB(14);leuS(6);pyrG(39);rplB(4);rpoB(6),polished_fasta_10x/isolate_6482_FAYFAY_10x.fasta
6500,carbapenemase-producing,10x,PAU61707_barcode5152,klebsiella,512,512,yes,mlst output,gapA(54);infB(3);mdh(1);pgi(1);phoE(1);rpoB(1);tonB(79),polished_fasta_10x/isolate_6500_PAU61707_barcode5152_10x.fasta
6520,carbapenemase-producing,10x,PAU61707_barcode5354,klebsiella,20,20,yes,mlst output,gapA(2);infB(3);mdh(1);pgi(1);phoE(4);rpoB(4);tonB(4),polished_fasta_10x/isolate_6520_PAU61707_barcode5354_10x.fasta
6567,carbapenemase-producing,10x,PAU61707_barcode5758,koxytoca,-,,,mlst output,gapA(~31);infB(47);mdh(~65);pgi(37?);phoE(~93);rpoB(44);tonB(40?),polished_fasta_10x/isolate_6567_PAU61707_barcode5758_10x.fasta
6571,carbapenemase-producing,10x,PAU61707_barcode5556,cfreundii,-,22,no,mlst output,aspC(15);clpX(12);fadD(20);mdh(15);arcA(~5);dnaG(11);lysP(17),polished_fasta_10x/isolate_6571_PAU61707_barcode5556_10x.fasta
6601,carbapenemase-producing,10x,PAU61707_barcode5960,cfreundii,256,256,yes,mlst output,aspC(16);clpX(112);fadD(130);mdh(102);arcA(7);dnaG(100);lysP(115),polished_fasta_10x/isolate_6601_PAU61707_barcode5960_10x.fasta
6623,carbapenemase-producing,10x,FBDPAY,ecloacae,461,461,yes,mlst output,dnaA(9);fusA(4);gyrB(14);leuS(6);pyrG(37);rplB(4);rpoB(9),polished_fasta_10x/isolate_6623_FBDPAY_10x.fasta
6668,carbapenem-non-susceptible,10x,FAZ49665_barcode1516,kaerogenes,93,93,yes,mlst output,dnaA(3);fusA(3);gyrB(2);leuS(18);pryG(3);rplB(1);rpoB(10),polished_fasta_10x/isolate_6668_FAZ49665_barcode1516_10x.fasta
6669,carbapenemase-producing,10x,PAU61707_barcode6162,klebsiella,462,462,yes,mlst output,gapA(2);infB(1);mdh(1);pgi(6);phoE(1);rpoB(4);tonB(12),polished_fasta_10x/isolate_6669_PAU61707_barcode6162_10x.fasta
6670,carbapenemase-producing,10x,PAU61707_barcode6364,cfreundii,396,396,yes,mlst output,aspC(16);clpX(12);fadD(70);mdh(15);arcA(88);dnaG(6);lysP(50),polished_fasta_10x/isolate_6670_PAU61707_barcode6364_10x.fasta
6701,carbapenemase-producing,10x,PAU61707_barcode6566,koxytoca,151,151,yes,mlst output,gapA(3);infB(5);mdh(21);pgi(13);phoE(20);rpoB(6);tonB(12),polished_fasta_10x/isolate_6701_PAU61707_barcode6566_10x.fasta
6711,carbapenemase-producing,10x,FAY24367_barcode0208,cfreundii,409,409,yes,mlst output,aspC(53);clpX(166);fadD(59);mdh(90);arcA(89);dnaG(151);lysP(107),polished_fasta_10x/isolate_6711_FAY24367_barcode0208_10x.fasta
6712,carbapenemase-producing,10x,FAY24367_barcode0309,ecoli_achtman_4,224,224,yes,mlst output,adk(6);fumC(4);gyrB(33);icd(16);mdh(11);purA(8);recA(6),polished_fasta_10x/isolate_6712_FAY24367_barcode0309_10x.fasta
6726,carbapenemase-producing,10x,PAYPAU,klebsiella,258,258,yes,mlst output,gapA(3);infB(3);mdh(1);pgi(1);phoE(1);rpoB(1);tonB(79),polished_fasta_10x/isolate_6726_PAYPAU_10x.fasta
6735,carbapenemase-producing,10x,PAU61707_barcode6970,cfreundii,22,22,yes,mlst output,aspC(15);clpX(12);fadD(20);mdh(15);arcA(5);dnaG(11);lysP(17),polished_fasta_10x/isolate_6735_PAU61707_barcode6970_10x.fasta
6737,carbapenemase-producing,10x,FBD_PAU_PAY,klebsiella,-,395,no,mlst output,gapA(3);infB(1);mdh(2);pgi(4);phoE(-);rpoB(1);tonB(129?),polished_fasta_10x/isolate_6737_FBD_PAU_PAY_10x.fasta
6738,carbapenemase-producing,10x,FBCPAUPAY,cfreundii,22,22,yes,mlst output,aspC(15);clpX(12);fadD(20);mdh(15);arcA(5);dnaG(11);lysP(17),polished_fasta_10x/isolate_6738_FBCPAUPAY_10x.fasta
6748,carbapenemase-producing,10x,PAU61707_barcode7576,ecoli_achtman_4,-,38,no,mlst output,adk(1334?);fumC(26);gyrB(2);icd(25);mdh(5);purA(5);recA(19),polished_fasta_10x/isolate_6748_PAU61707_barcode7576_10x.fasta
6774,carbapenemase-producing,10x,PAU61707_barcode7778,klebsiella,1653,1653,yes,mlst output,gapA(4);infB(3);mdh(2);pgi(3);phoE(13);rpoB(1);tonB(9),polished_fasta_10x/isolate_6774_PAU61707_barcode7778_10x.fasta
6775,carbapenemase-producing,10x,PAUPAY,kaerogenes,14,14,yes,mlst output,dnaA(12);fusA(5);gyrB(1);leuS(4);pryG(2);rplB(1);rpoB(2),polished_fasta_10x/isolate_6775_PAUPAY_10x.fasta
6776,carbapenemase-producing,10x,PAUPAY,cfreundii,22,22,yes,mlst output,aspC(15);clpX(12);fadD(20);mdh(15);arcA(5);dnaG(11);lysP(17),polished_fasta_10x/isolate_6776_PAUPAY_10x.fasta
6778,carbapenem-non-susceptible,10x,FAZ49665_barcode1718,kaerogenes,133,133,yes,mlst output,dnaA(5);fusA(3);gyrB(29);leuS(29);pryG(3);rplB(1);rpoB(2),polished_fasta_10x/isolate_6778_FAZ49665_barcode1718_10x.fasta
6779,carbapenemase-producing,10x,FBDPAU,kaerogenes,379,379,yes,mlst output,dnaA(60);fusA(2);gyrB(7);leuS(25);pryG(2);rplB(2);rpoB(2),polished_fasta_10x/isolate_6779_FBDPAU_10x.fasta
6795,carbapenemase-producing,10x,PAUPAY,cfreundii,-,,,mlst output,aspC(223);clpX(~152);fadD(281);mdh(~229);arcA(75);dnaG(185);lysP(187),polished_fasta_10x/isolate_6795_PAUPAY_10x.fasta
6797,carbapenemase-producing,10x,PAU61707_barcode8990,cfreundii,22,22,yes,mlst output,aspC(15);clpX(12);fadD(20);mdh(15);arcA(5);dnaG(11);lysP(17),polished_fasta_10x/isolate_6797_PAU61707_barcode8990_10x.fasta
6804,carbapenemase-producing,10x,FAZ49665_barcode1920,ecloacae,90,90,yes,mlst output,dnaA(58);fusA(37);gyrB(4);leuS(6);pyrG(42);rplB(4);rpoB(25),polished_fasta_10x/isolate_6804_FAZ49665_barcode1920_10x.fasta
6813,carbapenemase-producing,10x,PAU61707_barcode9192,-,-,,,mlst output,,polished_fasta_10x/isolate_6813_PAU61707_barcode9192_10x.fasta
6817,carbapenemase-producing,10x,PAUPAY,klebsiella,147,147,yes,mlst output,gapA(3);infB(4);mdh(6);pgi(1);phoE(7);rpoB(4);tonB(38),polished_fasta_10x/isolate_6817_PAUPAY_10x.fasta
6838,carbapenemase-producing,10x,PAU61707_barcode9596,ecoli_achtman_4,101,101,yes,mlst output,adk(43);fumC(41);gyrB(15);icd(18);mdh(11);purA(7);recA(6),polished_fasta_10x/isolate_6838_PAU61707_barcode9596_10x.fasta
6855,carbapenemase-producing,10x,PAY37630_barcode1920,koxytoca,303,303,yes,mlst output,gapA(12);infB(29);mdh(20);pgi(21);phoE(40);rpoB(32);tonB(46),polished_fasta_10x/isolate_6855_PAY37630_barcode1920_10x.fasta
6856,carbapenemase-producing,10x,FBCPAY,ecloacae,278,278,yes,mlst output,dnaA(59);fusA(9);gyrB(59);leuS(9);pyrG(67);rplB(6);rpoB(6),polished_fasta_10x/isolate_6856_FBCPAY_10x.fasta
6888,carbapenemase-producing,10x,PAY37630_barcode9394,klebsiella,976,976,yes,mlst output,gapA(2);infB(3);mdh(108);pgi(26);phoE(3);rpoB(4);tonB(64),polished_fasta_10x/isolate_6888_PAY37630_barcode9394_10x.fasta
6900,carbapenemase-producing,10x,PAY37630_barcode2324,cfreundii,534,534,yes,mlst output,aspC(9);clpX(11);fadD(205);mdh(95);arcA(47);dnaG(8);lysP(172),polished_fasta_10x/isolate_6900_PAY37630_barcode2324_10x.fasta
6901,carbapenemase-producing,10x,PAY37630_barcode2526,cfreundii,22,22,yes,mlst output,aspC(15);clpX(12);fadD(20);mdh(15);arcA(5);dnaG(11);lysP(17),polished_fasta_10x/isolate_6901_PAY37630_barcode2526_10x.fasta
6951,carbapenemase-producing,10x,PAY37630_barcode2728,ecoli_achtman_4,10,10,yes,mlst output,adk(10);fumC(11);gyrB(4);icd(8);mdh(8);purA(8);recA(2),polished_fasta_10x/isolate_6951_PAY37630_barcode2728_10x.fasta
6970,carbapenemase-producing,10x,PAY37630_barcode2930,cfreundii,256,256,yes,mlst output,aspC(16);clpX(112);fadD(130);mdh(102);arcA(7);dnaG(100);lysP(115),polished_fasta_10x/isolate_6970_PAY37630_barcode2930_10x.fasta
6989,carbapenemase-producing,10x,FBCFBDPAY,klebsiella,147,147,yes,mlst output,gapA(3);infB(4);mdh(6);pgi(1);phoE(7);rpoB(4);tonB(38),polished_fasta_10x/isolate_6989_FBCFBDPAY_10x.fasta
7000,carbapenemase-producing,10x,FBC06048_barcode1516,-,-,,,mlst output,,polished_fasta_10x/isolate_7000_FBC06048_barcode1516_10x.fasta
7067,carbapenemase-producing,10x,PAY37630_barcode3334,ecoli_achtman_4,607,607,yes,mlst output,adk(113);fumC(4);gyrB(5);icd(83);mdh(8);purA(8);recA(6),polished_fasta_10x/isolate_7067_PAY37630_barcode3334_10x.fasta
7077,carbapenemase-producing,10x,PAY37630_barcode3536,-,-,,,mlst output,,polished_fasta_10x/isolate_7077_PAY37630_barcode3536_10x.fasta
7083,carbapenemase-producing,10x,PAY37630_barcode3738,ecoli_achtman_4,2015,2015,yes,mlst output,adk(76);fumC(319);gyrB(30);icd(37);mdh(17);purA(10);recA(96),polished_fasta_10x/isolate_7083_PAY37630_barcode3738_10x.fasta
7084,carbapenemase-producing,10x,PAY37630_barcode3940,ecloacae,595,595,yes,mlst output,dnaA(80);fusA(55);gyrB(92);leuS(72);pyrG(169);rplB(12);rpoB(26),polished_fasta_10x/isolate_7084_PAY37630_barcode3940_10x.fasta
7088,carbapenemase-producing,10x,FAX65952_barcode1319,cfreundii,-,,,mlst output,aspC(253?);clpX(189);fadD(~319);mdh(269);arcA(~101);dnaG(~230);lysP(182),polished_fasta_10x/isolate_7088_FAX65952_barcode1319_10x.fasta
7089,carbapenemase-producing,10x,FAXFAY,klebsiella,-,147,no,mlst output,gapA(3);infB(~4);mdh(6);pgi(1);phoE(7);rpoB(4);tonB(38),polished_fasta_10x/isolate_7089_FAXFAY_10x.fasta
7090,carbapenemase-producing,10x,FAXFBD,cfreundii,-,,,mlst output,aspC(253?);clpX(189);fadD(~319);mdh(269);arcA(101);dnaG(~230);lysP(182),polished_fasta_10x/isolate_7090_FAXFBD_10x.fasta
7101,carbapenem-non-susceptible,10x,FBCFAY,ecloacae,901,901,yes,mlst output,dnaA(112);fusA(18);gyrB(161);leuS(173);pyrG(264);rplB(8);rpoB(30),polished_fasta_10x/isolate_7101_FBCFAY_10x.fasta
7136,carbapenemase-producing,10x,PAY37630_barcode7980,klebsiella,16,16,yes,mlst output,gapA(2);infB(1);mdh(2);pgi(1);phoE(4);rpoB(4);tonB(4),polished_fasta_10x/isolate_7136_PAY37630_barcode7980_10x.fasta
7176,carbapenemase-producing,10x,PAY37630_barcode4546,klebsiella,273,273,yes,mlst output,gapA(3);infB(4);mdh(6);pgi(1);phoE(7);rpoB(4);tonB(4),polished_fasta_10x/isolate_7176_PAY37630_barcode4546_10x.fasta
7181,carbapenemase-producing,10x,PAY37630_barcode4748,klebsiella,3430,3430,yes,mlst output,gapA(2);infB(3);mdh(2);pgi(6);phoE(1);rpoB(4);tonB(12),polished_fasta_10x/isolate_7181_PAY37630_barcode4748_10x.fasta
7213,carbapenemase-producing,10x,FBCFBD,-,-,,,mlst output,,polished_fasta_10x/isolate_7213_FBCFBD_10x.fasta
7221,carbapenemase-producing,10x,PAY37630_barcode4950,ecoli_achtman_4,361,361,yes,mlst output,adk(10);fumC(99);gyrB(5);icd(91);mdh(8);purA(7);recA(2),polished_fasta_10x/isolate_7221_PAY37630_barcode4950_10x.fasta
7243,carbapenemase-producing,10x,PAY37630_barcode5152,ecloacae,78,78,yes,mlst output,dnaA(8);fusA(9);gyrB(6);leuS(9);pyrG(9);rplB(6);rpoB(8),polished_fasta_10x/isolate_7243_PAY37630_barcode5152_10x.fasta
7273,carbapenemase-producing,10x,FBCPAY,senterica_achtman_2,-,10,no,mlst output,aroC(621);dnaN(559);hemD(494);hisD(759?);purE(615);sucA(581);thrA(695),polished_fasta_10x/isolate_7273_FBCPAY_10x.fasta
7285,carbapenemase-producing,10x,PAY37630_barcode5556,cfreundii,583,583,yes,mlst output,aspC(133);clpX(205);fadD(58);mdh(42);arcA(30);dnaG(175);lysP(105),polished_fasta_10x/isolate_7285_PAY37630_barcode5556_10x.fasta
7310,carbapenemase-producing,10x,PAY37630_barcode5758,ecoli_achtman_4,38,38,yes,mlst output,adk(4);fumC(26);gyrB(2);icd(25);mdh(5);purA(5);recA(19),polished_fasta_10x/isolate_7310_PAY37630_barcode5758_10x.fasta
7316,carbapenemase-producing,10x,PAY37630_barcode5960,klebsiella,320,320,yes,mlst output,gapA(3);infB(6);mdh(2);pgi(1);phoE(7);rpoB(4);tonB(41),polished_fasta_10x/isolate_7316_PAY37630_barcode5960_10x.fasta
7320,carbapenem-non-susceptible,10x,FAY29226_barcode10,klebsiella,-,,,mlst output,gapA(2);infB(30);mdh(2);pgi(26);phoE(1);rpoB(4);tonB(4),polished_fasta_10x/isolate_7320_FAY29226_barcode10_10x.fasta
7365,carbapenemase-producing,10x,PAY37630_barcode6162,kaerogenes,-,,,mlst output,dnaA(24);fusA(10);gyrB(1);leuS(60);pryG(3);rplB(1);rpoB(10),polished_fasta_10x/isolate_7365_PAY37630_barcode6162_10x.fasta
7370,carbapenemase-producing,10x,PAY37630_barcode6566,ecoli_achtman_4,46,46,yes,mlst output,adk(8);fumC(7);gyrB(1);icd(8);mdh(8);purA(8);recA(6),polished_fasta_10x/isolate_7370_PAY37630_barcode6566_10x.fasta
7387,carbapenemase-producing,10x,FBCFBD,ecoli_achtman_4,38,38,yes,mlst output,adk(4);fumC(26);gyrB(2);icd(25);mdh(5);purA(5);recA(19),polished_fasta_10x/isolate_7387_FBCFBD_10x.fasta
7418,carbapenemase-producing,10x,PAY37630_barcode7374,cfreundii,583,583,yes,mlst output,aspC(133);clpX(205);fadD(58);mdh(42);arcA(30);dnaG(175);lysP(105),polished_fasta_10x/isolate_7418_PAY37630_barcode7374_10x.fasta
7419,carbapenemase-producing,10x,FBCPAY,ecloacae,108,108,yes,mlst output,dnaA(68);fusA(8);gyrB(75);leuS(63);pyrG(65);rplB(34);rpoB(35),polished_fasta_10x/isolate_7419_FBCPAY_10x.fasta
7454,carbapenemase-producing,10x,PAY37630_barcode7778,senterica_achtman_2,-,131,no,mlst output,aroC(-);dnaN(~603);hemD(554);hisD(836);purE(690);sucA(648);thrA(700),polished_fasta_10x/isolate_7454_PAY37630_barcode7778_10x.fasta
7475,carbapenemase-producing,10x,PAY37630_barcode8182,klebsiella,147,147,yes,mlst output,gapA(3);infB(4);mdh(6);pgi(1);phoE(7);rpoB(4);tonB(38),polished_fasta_10x/isolate_7475_PAY37630_barcode8182_10x.fasta
7476,carbapenemase-producing,10x,PAY37630_barcode8384,klebsiella,485,485,yes,mlst output,gapA(2);infB(1);mdh(1);pgi(1);phoE(7);rpoB(1);tonB(12),polished_fasta_10x/isolate_7476_PAY37630_barcode8384_10x.fasta
7488,carbapenemase-producing,10x,FBC05034_barcode2324,ecoli_achtman_4,744,744,yes,mlst output,adk(10);fumC(11);gyrB(135);icd(8);mdh(8);purA(8);recA(2),polished_fasta_10x/isolate_7488_FBC05034_barcode2324_10x.fasta
7503,carbapenemase-producing,10x,FBD018114_barcode2122,cfreundii,65,65,yes,mlst output,aspC(16);clpX(17);fadD(20);mdh(48);arcA(12);dnaG(11);lysP(46),polished_fasta_10x/isolate_7503_FBD018114_barcode2122_10x.fasta
7521,carbapenemase-producing,10x,FAX65952_barcode1824,klebsiella,16,16,yes,mlst output,gapA(2);infB(1);mdh(2);pgi(1);phoE(4);rpoB(4);tonB(4),polished_fasta_10x/isolate_7521_FAX65952_barcode1824_10x.fasta
